Date,Open,High,Low,Close,Volume,Market Cap,,,
Oct-30-2014,335.591,350.913,335.072,344.883,19054229.86,4565098613,,,
Oct-29-2014,357.618,357.833,335.343,335.68,12228819.62,4676126607,,,
Oct-28-2014,352.989,359.984,352.679,357.389,10514858.89,4793217528,,,
Oct-27-2014,354.704,358.632,349.809,353.178,10943983.83,4765155962,,,
Oct-26-2014,347.271,359.221,343.931,354.681,15363360.76,4734813899,,,
Oct-25-2014,358.345,359.861,342.877,346.653,15502566.2,4717867111,,,
Oct-24-2014,358.417,364.345,353.305,358.478,23190216.72,4816913124,,,
Oct-23-2014,383.158,385.048,356.447,359.053,19095447.57,4956181022,,,
Oct-22-2014,386.475,388.576,382.249,383.194,13183125,5164229317,,,
Oct-21-2014,382.845,392.646,380.834,386.154,13485783.89,5179837590,,,
Oct-20-2014,389.546,390.084,378.252,382.479,12469332.61,5142069807,,,
Oct-19-2014,391.442,393.939,386.457,390.54,9262827.292,5232518232,,,
Oct-18-2014,383.758,395.158,378.971,391.556,12354684.03,5183724144,,,
Oct-17-2014,382.556,385.478,375.389,383.801,22801798.26,5102231088,,,
Oct-16-2014,394.773,398.807,373.07,382.834,22321544.6,5190444723,,,
Oct-15-2014,400.87,402.227,388.766,394.733,32094415.63,5286017632,,,
Oct-14-2014,390.414,411.698,390.414,401.361,42621492.71,5396600676,,,
Oct-13-2014,378.549,397.226,368.897,390.196,24115303.48,5061817742,,,
Oct-12-2014,362.299,379.433,356.144,379.171,11806811.18,4868634799,,,
Oct-11-2014,361.562,367.191,355.951,363.041,25966678.47,4826730278,,,
Oct-10-2014,365.026,375.067,352.963,360.576,71098449.48,4849283215,,,
Oct-09-2014,352.94,382.726,347.687,364.51,66680669.79,4848203100,,,
Oct-08-2014,336.187,354.364,327.188,353.45,46380585.07,4525049331,,,
Oct-07-2014,330.079,339.247,320.482,336.718,62903305.9,4425125068,,,
Oct-06-2014,320.51,345.134,302.56,329.387,94978103.14,4336864391,,,
Oct-05-2014,328.866,341.801,289.296,321.77,58695294.79,4243362874,,,
Oct-04-2014,359.512,364.487,325.886,328.892,38072701.45,4637882418,,,
Oct-03-2014,375.072,377.695,357.859,360.002,23849561.67,4945990574,,,
Oct-02-2014,383.988,385.497,372.946,375.081,20289558.02,5068220519,,,
Oct-01-2014,386.944,391.379,380.78,383.615,33676631.38,5142650372,,,
Sep-30-2014,375.467,390.977,373.443,387.137,31058240.63,5085982859,,,
Sep-29-2014,377.181,385.211,372.24,375.665,29670549.48,5047879294,,,
Sep-28-2014,399.52,401.017,374.332,377.06,16840409.03,5217809767,,,
